kontl,kontol
tumbangkancaprespendusta,tumbangkan capres pendusta
tumbangkanjokowi,tumbangkan jokowi
tumbangkanjokowiradikal,tumbangkan jokowi radikal
tumbangkn,tumbangkan
tumbur,tunas
tumpakke,menaikan
tumpe2,tumpah tumpah
tuney,tunai
tunggu2,tunggu tunggu
tungu,tunggu
tunjukan,tunjukkan
tunjukilah,tunjukanlah
tunjukin,tunjukan
tunjukkan,tunjukan
tuntuna,tuntunan
turah,lebih
turkey,turki
turnament,turnamen
turo,turonggo
turret,turet
turtable,tabel kebenaran
turtle,kura kura
turun2,turun turun
turunkanjokowi,turunkan jokowi
tutorialx,tutorialnya
tutup01tusuk02,tutup 01 tusuk 02
tutupi,menutupi
tutupin,menutupi
tuu,itu
tuuh,itu
tuuu,itu
tuuuu,tuh
tuuuuh,itu
tuwanya,tuanya
tuwek,tua
tuyg,itu yang
tv,televisi
tvnya,televisinya
tvri,televisi republik indonesia
tvshow,acara televisi
tw,tahu
twatter,twitter
twee,twit
tweeps,twit
tweet,twit
tweet2,twit twit
tweetdsap,twit
tweeter,twitter
tweetnya,twitnya
tweets,twit
twet,twit
twice,dua kali
twins,kembar
twip,twit
twips,twit
twit,twit
twiter,twitter
twitt,twit
twitteran,bermain twitter
twitwor,perang twit
twiy,twit
two,dua
twoshoot,dua tembakan
twt,twit
ty,terima kasih
tyap,setiap
tyasmirasih,tyas mirasih
tydac,tidak
tydack,tidak
tydak,tidak
tyo,tio
type,tipe
typekal,tipikal
typical,tipikal
typing,mengetik
typingnya,ketikannya
typo,salah ketik
tyranny,tirani
tytyd,titit
u,kamu
u18,usia 18
uae,uni emirat arab
uang,duit
uangkita,duit kita
uanjing,anjing
uas,ujian akhir semester
ub,universitas brawijaya
ubat,obat
ubur2,ubur ubur
ucapakan,ucapkan
ucapin,mengucapkan
ucapqn,ucapan
ucink,kucing
ucpn,ucapan
ucril,yusril
ucul,lucu
ucull,lucu
ucullllll,lucu
ud,sudah
uda,sudah
udaah,sudah
udab,sudah
udah,sudah
udah2,sudah sudah
udahh,sudah
udahlah,sudahlah
udd,sudah
uddin,udin
ude01,sudah
udeeeh,sudah
udeeh,sudah
udeh,sudah
udehh,sudah
udelnya,pusarnya
udh,sudah
udhga,sudah tidak
udzur,uzur
ue,aku
uea,uni emirat arab
uenak,enak
uga,juga
ugaaa,juga
ugal2an,ugal ugalan
ugalugalan,ugal ugalan
ugh,uh
ughaa,juga
ughh,uh
uh,juga
uhh,uh
uhhh,uh
uhhhh,uh
uhm,hem
uhuks,batuk
uhuww,uhuy
uhuwww,uhuy
ui,oi
uih,weh
uin,universitas islam negeri
uing,aku
uitnya,duitnya
ujan,hujan
ujan2,hujan hujanan
ujan2an,hujan hujanan
ujg,ujung
ujin,ujian
ujug2,tiba tiba
ujuk2,tiba tiba
ujung2,ujung ujung
ujung2nya,ujung ujungnya
ujungujung,tiba tiba
ujungujungnya,ujung ujungnya
uk,united kingdom
uke,oke
ukhti,saudari
ukhti2,saudari saudari
ukm,usaha kecil menengah
uknowwhothestyle,you know who the style
ukwah,ukhuwah
ulakkarang,ulak karang
ulama2,ulama ulama
ulama2an,ulama bohongan
ulamaā,ulama
ulamak,astaga
ulamaš,ulama
ulan,ulang
ulang2,ulang ulang
ulangtahun,ulang tahun
ulangtaun,ulang tahun
ulasanya,ulasannya
ultah,ulang tahun
ultahe,ultahnya
ultha,ultah
ultrakanan,ultra kanan
ultrasnya,pendukung fanatiknya
umaraā,umara
umaro,umara
umaroh,umara
umatbersamasaksi,umat bersama saksi
umkm,usaha mikro kecil dan menengah
ummat,umat
ummatnha,umatnya
ummi,ibu
umoh,rumah
umpetin,sembunyikan
umptn,ujian masuk perguruan tinggi nasional
umr,upah minimum regional
umroh,umrah
umumin,mengumumkan
umur2,umur umur
umyun,buta
un,ujian nasional
uname,nama pengguna
unamenya,nama penggunanya
unbk,ujian nasional berbasis komputer
unbranded,tidak bermerek
unch,uh
uncle,paman
undang2,undang undang
undangan2,undangan undangan
undeeestimate,underestimate
undeestimate,menyepelekan
underestimate,menyepelekan
unem,nama pengguna
unfairness,ketidakadilan
unfol,unfollow
unfoll,unfollow
ungguli,mengungguli
ungkapin,ungkapkan
ungkapkn,mengungkapkan
ungkit2,ungkit ungkit
uninstallgojek,uninstall gojek
uninstalljokowi,uninstall jokowi
unisoviet,uni soviet
unistalljokowi,uninstall jokowi
univ,universitas
universiti,universitas
universiti2,universitas universitas
university,universitas
universityā,universitas
unkris,universitas kristen
unm,universitas negeri malang
unnes,universitas negeri semarang
unnie,kakak perempuan
unpad,universitas negeri padjadjaran
unpub,tidak dipublikasikan
unskilled,tidak terampil
unt,untuk
untan,universitas tanjungpura
untar,universitas tarumanegara
untk,untuk
untkmu,untukmu
untrakyat,untuk rakyat
untuak,untuk
untukv,untukku
untung2an,untung untungan
untungkan,menguntungkan
unutk,untuk
unyu2,unyu unyu
unyuu,unyu
unyuuk,unyu
update,pembaruan
updateannya,pembaruan
updaters,pembaru
updating,memperbarui
upfoll,unfollow
upgrade,peningkatan
upload,unggah
upone,upon
upss,ups
upsss,ups
ur,kamu
ur,your
urani,tirani
urat2nya,urat uratnya
urg,belum
urgghh,huh
urgh,huh
urghhh,huh
ursan,urusan
urusanny,urusannya
urusin,uruskan
urusn,urusan
usa,united state of america
usage,penggunaan
usahh,usah
usak,rusak
useless,tidak berguna
usep,asep
username,nama pengguna
ush,uh
usher,nama pengguna
usirchina,usir cina
usirdubesmyanmar,usir kedutaan besar myanmar
usluf,uslub
uss,ussr
ust,ustaz
ust2,ustaz ustaz
ustad2,ustaz ustaz
ustadabdulsomad,ustad abdul somad
ustadz,ustaz
ustadz2,ustaz ustaz
ustd,ustaz
ustd2,ustaz ustaz
ustmani,usmani
ustot,ustaz
ustzah,ustazah
usual,biasanya
usualy,usually
usyriyah,syriyah
utak,otak
utangan,pinjaman
utbk,ujian tulis berbasis komputer
uteknya,otaknya
utek, otak
uthman,utsman
utk,untuk
utkmu,untukmu
uts,ujian tengah semester
utuk,untuk
utusanmalaysia,utusan malaysia
utusanonline,utusan online
uu,undang undang
uud,undang undang dasar
uud45,undang undang dasar 1945
uuduud,undang undang dasar
uuh,uh
uuhh,uh
uunncchh,uh
uupa,upah
uuugh,uh
uuuh,uh
uuupssss,ups
uuuu,uh
uuuuuaaaaaaaaaappppppppppiiiiiiiiiiiiiiiiiikkkkkkkkkkkkkkkk,apik
uuuuuy,oi
uv,ultra violet
uwahhhhh,weh
uwakk,uak
uwee,aku
uwong,orang
uwoy,oi
uwu,oi
uwuwuww,oi
uyhgur,uyghur
uztad,ustaz
vadjadjaran,padjadjaran
validnya,validitasnya
valik,valak
varokah,berkah
vasti,pasti
vau,bau
vc,video call
vclip,video klip
vcs,video call sex
venue,tempat
ver,versi
verao2019,verao 2019
verif,verifikasi
very,sangat
verymuch,very much
victim,korban
vid,video
videobokep,video bokep
videobokepgrat,video bokep gratis
videoin,memvideo
videomesum,video mesum
videongentot,video ngentot
vidio,video
vidkep,video bokep
vietnamexolapologizetosechan,vietnam exo l apologize to sechan
vii,vi
vikinganjing,viking anjing
vilage,desa
villa,vila
villager,orang desa
vincesius,vincentius
vinyl,vinil
virakan,viralkan
viralin,viralkan
visit,mengunjungi
visualnya,visualisasinya
viv4jokowi,viva jokowi
vivov9,vivo
vivov9grandlaunch,vivo
vn,pesan suara
vocal,vokal
voice,suara
volunteerism,kesukarelaan
von,menelepon
vote,memilih
voteforjokowi,vote for jokowi
voters,pemilih
voucher,kupon
vroh,bro
vs,lawan
w,aku
waaa,wah
waaaaaw,wow
waaaaw,wow
waaah,wah
waaahhh,wah
waaaww,wow
waaawwww,wow
waah,wah
waaini,wah ini
waakaakaak,wkwk
waaw,wow
waba,wabah
wad,buat
wadaauuuwwww,wow
wadaauuww,waduh
wadaaw,waduh
wadaw,waduh
wadidaw,waduh
wado,waduh
waduhh,waduh
waduhhh,waduh
waduuh,waduh
waduuuh,aduh
wae,saja
wag,kekasih
wagabener,wah tidak benar
wagakbener,wah tidak benar
wagelaseh,wah gila sih
wagub,wakil gubernur
wagubku,wakil gubernurku
wagubnya,wakil gubernurnya
wah2,wah wah
wahabism,wahabisme
wahabrer,wah tidak benar
wahahahaha,haha
wahala,pahala
wahbrot,wah saudara
wahh,wah
wahhabi,wahabi
wahhh,wah
wahhhhhh,wah
waini,wah ini
wainna,wah ini
wait,tunggu
waiters,pelayan
wajae,wajahnya
wajahā,wajahnya
wajahx,wajahnya
wajar2,wajar wajar
wajarla,wajarlah
wajarrr,wajar
waji,wajik
wajibmenang,wajib menang
wajiiib,wajib
wakaka,wkwk
wakakak,wkwk
wakakaka,wkwk
wakakakak,wkwk
wakakakaka,wkwk
wakakakakakak,wkwk
wakakkakkak,wkwk
wakaq,wkwk
waketum,wakil ketua umum
waktuny,waktunya
waktunyaaa,waktunya
waktunyajuara,waktunya juara
wakwaww,wkwk
wakwawww,wkwk
wal,wah
wala,waduh
walaahh,sumpah
walaipun,walaupun
walaupon,walaupun
walik,balik
walikota,wali kota
walikotanya,wali kotanya
walisongo,wali songo
walkot,wali kota
walkout,pergi
walkthetalk,walk the talk
wallpaperwednesday,wallpaper wednesday
walopun,walaupun
walpri,pengawal pribadi
walupun,walaupun
wamil,wajib militer
wanita2,wanita wanita
wanitah,wanita
wanjerrr,anjir
wanjiir,anjir
wanna,ingin
wantimpres,dewan pertimbangan presiden
waoohhh,wah
waow,wow
wapres,wakil presiden
wapresnya,wakil presidennya
wapresnye,wakil presidennya
waqiā,waqiah
warbiasak,luar biasa
warbiyasah,luar biasa
wareg,kenyang
wargapribumiasli,warga pribumi asli
warisanā,warisannya
warkop,warung kopi
warnaaa,warna
warnany,warnanya
warnet,warung internet
warrbisah,luar biasa
wartawan2,wartawan wartawan
warteg,warung tegal
warung2,warung warung
wasatiyah,moderat
wasatiyat,moderat
wasatiyatislam,islam moderat
wasite,wasitnya
wasn,was not
wasnt,was not
waspadai,mewaspadai
waspadailah,waspadalah
waspadanya,waspadalah padanya
waspadapki,waspada partai komunis indonesia
wassalammualaikum,wassalammualaykum
wassalamukum,wasslamualaykum
wassapnya,whatsappnya
wassup,whats up
wasuu,anjing
wasuuu,asu
wat,buat
watasiyat,moderat
watching,menonton
watrpad,wattpad
wave,gelombang
waw,wow
wawancaraeksklusif,wawancara eksklisif
wawancarain,mewawancarai
waww,wow
wawwwww,wow
wayahe,waktunya
wajae, wajahnya
ways,arah
wazhab,azab
wc,toilet
wdooohhh,waduh
wdyt,what do you think
weaknessnya,kelemahannya
wear,memakai
wechooserahmah,kami pilih rahmah
wedeeeh,wah
wednesdaywisdom,wednesday wisdom
weeeh,weh
weekend,akhir pekan
wefie,wifi
wehh,wah
wehhh,wah
wei,hai
weii,hai
weird,aneh
wek,wkwk
wekawekaweka,wkwk
wekekkeke,wkwk
wel,well
welcomegot7tousa,welcome got7 to united states of america
welkam,selamat datang
wenak,enak
wenakk,enak
wenangan,wejangan
wengi,malam
werent,were not
weru,lihat
wes,sudah
weslah,sudahlah
wess,sudah
westernpraise,western praise
westpapua,west papua
wew,wow
wewww,wow
wey,he
weyh,he
wgl,we get love
whaaaaaaaatt,what
whahahaahaha,haha
what,apa
whatever,apapun
whats,apa
whatsappinaja,whatsapp aja
whatthemotherfucker,what the mother fucker
whattjefuk,what the fuck
wheresboris,where is boris
whichgroup,which group
while,ketika
whoa,wow
whoaaa,wow
wht,what
whta,what
whts,what is
whuahahahah,haha
whut,what
whuzzat,was that
why,kenapa
wib,waktu indonesia bagian barat
wibu,weeaboo
widih,wow
widihh,wow
wife,istri
wihh,weh
wihhh,weh
wihhhhhh,weh
wihwowhwi,wow
wiig,rambut palsu
wiih,weh
wiiiihhhh,weh
wil,wilayah
wilayah2,wilayah wilayah
wilujeng,selamat
wilyah,wilayah
win,menang
wings,sayap
winnercrosstour,winner cross tour
wins,menang
winters,musim dingin
winwen,xinwen
wirosableng,wiro sableng
wis,sudah
wisan,sudahan
wisatakaltim,wisata kalimantan timur
wisatalendirjogja,wisata lendir yogyakarta
wishnya,harapannya
wiswayaheprabowopresiden,wis wayahe prabowo presiden
wit,with
witch,penyihir
with,dengan
without,tanpa
withyouthischristmasoutnow,with you this christmas out now
wjar,wajar
wjdjiqksks,wkwk
wjh,wajah
wk,wkwk
wkaakakak,wkwk
wkakak,wkwk
wkakakakaka,wkwk
wkakwk,wkwk
wkejwkkw,wkwk
wkk,wkwk
wkkk,wkwk
wkkkkkk,wkwk
wkkkkwkk,wkwk
wkkw,wkwk
wkkwkk,wkwk
wkkwkw,wkwk
wkkwkwkw,wkwk
wkkwkwkwkw,wkwk
wkkww,wkwk
wks,wkwk
wksk,wkwk
wkt,waktu
wktu,waktu
wktunya,waktunya
wkw,wkwk
wkwkk,wkwk
wkwkkk,wkwk
wkwkkw,wkwk
wkwkkwk,wkwk
wkwkkwkw,wkwk
wkwkkwkwkw,wkwk
wkwkkwkwkwkwkq,wkwk
wkwks,wkwk
wkwkw,wkwk
wkwkwjjwjw,wkwk
wkwkwk,wkwk
wkwkwkakak,wkwk
wkwkwkk,wkwk
wkwkwkkw,wkwk
wkwkwkkwkw,wkwk
wkwkwkkwkwkwwk,wkwk
wkwkwkw,wkwk
wkwkwkwk,wkwk
wkwkwkwkk,wkwk
wkwkwkwkkw,wkwk
wkwkwkwkw,wkwk
wkwkwkwkwk,wkwk
wkwkwkwkwkk,wkwk
wkwkwkwkwkkw,wkwk
wkwkwkwkwkkwkwkw,wkwk
wkwkwkwkwkw,wkwk
wkwkwkwkwkwkk,wkwk
wkwkwkwkwkwkwk,wkwk
wkwkwkwkwkwkwkwk,wkwk
wkwkwkwkwkwkwkwkkwkwkwkwkwkwkwkkw,wkwk
wkwkwkwkwkwkwkwkwkwkwk,wkwk
wkwkwkwkwwkwkwkwkwkwkwk,wkwk
wkwkwkwwk,wkwk
wkwkwkwwkkwkwkwkwk,wkwk
wkwkwkwwkwk,wkwk
wkwkwwk,wkwk
wkwwk,wkwk
wl,walau
wlau,walau
wlaupun,walaupun
wlawpun,walaupun
wllh,waduh
wlo,waduh
wlopun,walaupun
wlpun,walaupun
wlwkkskskskkskks,wkwk
wlwpn,walaupun
wlwpun,walaupun
wn,warga negara
wna,warga negara asing
wne,wine
wni,warga negara indonesia
wo,oi
woah,wow
woahwoahwoah,wow
woe,oi
woey,oi
woh,wah
wohh,wah
woii,oi
woiii,woi
woles,santai
wonderfulindonesia,woderful indonesia
wong,orang
wong2,orang orang
wonge,orangnya
woo,uhuy
woohoo,uhuy
wooii,oi
woooiiiii,oi
woooiiiiiiii,oi
woooooii,woi
woooow,wow
woooui,woi
wooow,wow
wooowww,wow
woooyy,oi
wooui,oi
woow,wow
wooww,wow
woowwww,wow
wooy,oi
wooyy,oi
wooyyy,woi
wor,perang
words,kata
workpointshorts,work point shorts
worldcup2018,world cup 2018
worstseagames,worst sea games
worstseagamesever,worst sea games ever
wota2,wota wota
wouldnt,would not
wouldve,would have
wournos,wuornos
wouww,wow
wow,wah
woww,wow
wowww,wow
wowwww,wow
wowwwww,wow
woy,oi
woyy,oi
woyyy,oi
woyyyy,woi
woyyyyyyyyyyyy,woi
wqwq,wkwk
wqwqwq,wkwk
wqwqwqwq,wkwk
wrn,warna
wrong,salah
wrung,warung
ws,sudah
wslm,wassalam
wtf,what the fuck
wtfff,what the fuck
wtffff,what the fuck
wth,what the hell
wthh,what the hell
wuah,wow
wuakkakaa,wkwk
wuastagah,astaga
wuih,wah
wusssstt,wus
wusstt,wow
wwaaaaahrt,wah
wwkkw,wkwk
wwkwkwkw,wkwk
wwsn,wkwk
xguna,tidak berguna
xixixi,hihi
xixixix,hihi
xlepaskan,lepaskan
xlian,kalian
xtra,ekstra
xviii,18
xxi,21
xxxv,35
y,iya
yaa,ya
yaaa,ya
yaaaa,ya
yaaaaaa,ya
yaaaaaash,hore
yaaaah,ya
yaaaap,ya
yaaaassshhh,hore
yaaaelaaaaaa,yaelah
yaaah,ya
yaaang,yang
yaaelaa,yaelah
yaaelah,yaelah
yaah,ya
yaahh,ya
yaahhh,ya
yaak,ya
yaakk,ya
yaakkk,ya
yaallaaaaah,ya allah
yaallah,ya allah
yaallahh,ya allah
yaamfun,ya ampun
yaamp,ya
yaampun,ya ampun
yaampuuuunnnn,ya ampun
yaang,yang
yaap,iya
yaapss,iya
yaapssss,ya
yab,ya
yabg,yang
yach,ya
yachhh,ya
yadong,iya dong
yaelahh,yaelah
yaelahhh,yaelah
yagimanasih,ya bagaimana sih
yagitu,ya begitu
yah,ya
yahbh,ya
yahh,ya
yahhh,ya
yahhhh,yah
yahodi,yahudi
yahood,yahudi
yahud,yahudi
yahudii,yahudi
yahudii,yahudi
yahudilik,yahudi
yahut,hebat
yai,ya iyalah
yaila,ya iyalah
yailaah,ya iyalah
yailah,ya iyalah
yaiyalah,ya iyalah
yak,ya
yakali,ya kali
yakan,iyakan
yakiin,yakin
yakiinn,yakin
yakini,yaitu
yakinn,yakin
yakk,ya
yakkkk,ya
yal,yel
yall,yel
yall,you all
yalls,you all
yalord,ya tuhan
yampun,ya ampun
yanag,yang
yanckh,sayang
yanga,ya tidak
yangbagus,yang bagus
yangg,yang
yangmembuat,yang membuat
yank,sayang
yankkk,sayang
yant,yang
yao,iya
yaoi,iya
yaola,ya tidak
yaolo,ya allah
yaoloh,ya allah
yaolohh,ya allah
yaopo,ya apa
yap,iya
yapp,ya
yappp,iya
yarabb,ya allah
yas,ya
yaš,ya
yasadipura,yasa adipura
yasalam,ya allah
yassalam,ya allah
yauda,ya sudah
yaudah,ya sudah
yaudahlah,ya sudahlah
yaudh,ya sudah
yaw,iya
yawa,nyawa
yawdah,ya sudah
yawla,ya allah
yawlah,ya allah
yawloh,ya allah
yayang,sayang
yaysn,yayasan
ybhg,yang berbahagia
ybs,yang bersangkutan
ye,iya
yea,ya
yeaa,ya
yeaaa,ya
yeaahh,ya
yeah,ya
yeahh,ya
year,tahun
yebin,iya biarkan
yee,iya
yeee,iya
yeeee,iya
yeeuh,jijik
yegak,iya atau tidak
yeh,iya
yeho,iya
yekan,iyakan
yelah,iya
yell,yel
yep,ya
yes,iya
yeshh,iya
yess,yes
yesss,yes
yessssssssssss,yes
yeu,jijik
yeuh,jijik
yeuhh,jijik
yeuhhh,yah
yey,hore
yeyy,hore
yg,yang
ygvtidak,yang tidak
yh,ya
yha,ya
yhaaa,ya
yikezz,yikes
ykwim,you know what i mean
ylbhi,yayasan lembaga bantuan hukum indonesia
ylhbi,yayasan lembaga bantuan hukum indonesia
yll,yang lain lain
ym,yusuf mansyur
yme,yang maha esa
yng,yang
ynk,sayang
ynwa,you never walk alone
yo,iya
yodahsi,ya sudahlah
yogya,yogyakarta
yoi,iya
yoiii,iya
yoiiu,iya
yoj,iya
yok,ayo
yokk,ayo
yokkk,ayo
yoo,iya
yooa,iya
yook,ayo
yooo,ayo
yoooiii,iya
yooookkk,ayo
yooow,ya
younggeneration,young generation
youre,you are
youreee,you are
youself,yourself
youtubegiveusour10millionback,youtube give us our 10 million back
youtubereturn10millionviewsback,youtube return 10 million views back
youu,you
youu,you
youuu,you
youuuu,you
youuuuuuuuuuuu,you
youve,you have
yow,iya
yowis,ya sudah
yoy,iya
yoyakarta,yogyakarta
yq,yang
yra,ya rabbal alamin
yrself,yourself
ysalaharah,salah arah
ysh,ya
yth,yang terhormat
yua,wah
yubaarik,yubarik
yuh,ayo
yuhu,hore
yuhuu,hore
yuhuuuu,hore
yui,iya
yuk,ayo
yukk,ayo
yukkkk,ayo
yuknabung,ayo menabung
yukngaji,ayo mengaji
yukp,ayo
yukpromosikanasiangames18,ayo promosikan asian games 2018
yuks,ayo
yukss,ayo
yukusulibukotadimana,ayo usul ibukota dimana
yummy,enak
yup,iya
yuppss,ya
yups,iya
yupz,iya
yut,ayo
yuta,juta
yutub,youtube
yutuber,youtuber
yutup,youtube
yuu,ayo
yuuhuu,hore
yuuk,ayo
yuukk,ayo
yuuks,ayo
yuups,ya
yuuu,ayo
yuuuk,ayo
yuuups,ya
yuuuuk,ayo
yuuuukkk,ayo
yuwkkk,ayo
ywdh,ya sudah
yy,iya iya
yya,iya
yynng,yang
yyynng,yang
za,saja
zainulmajdi,zainul majdi
zama,zaman
zapi,sapi
zar,zat
zhalim,zalim
zhang,yang
zhengting,genting
zholim,zalim
zholimi,zalim
zhong,apes
zionist,zionis
zmn,zaman
zolimi,menzalimi
zong,apes
zonk,apes
zonkey,monyet
zoon,zoom
zumiiiii,zumi
zupeer,super
zuyle,zumi
zuzu,susu
zz,hem
zzz,zez
zzzeeezzzzsssttt,zez
zzzzzz,zez
zzzzzzzzzzzz,zez
katek, tidak ada
baseng, sembarang
basing, sembarang
idak, tidak
idk, tidak
ktek, tidak ada
ancor, hancur
ancur, hancur
abiz, habis
abis, habis
semlohay, semok
brhenti, berhenti
brenti, berhenti
cape, lelah
engga, tidak
blokkk, goblok
blokk, goblok
maluinn, memalukan
maluin, memalukan
ngomah, rumah
ngpain, sedang apa
ngapain, sedang apa
ning, di
drp, daripada
"org""", orang-orang
q, aku
u, kamu
aj, saja
cowo, cowok
cewe, cewek
cwe, cewek
anakjakartaasikasik,anak jakarta asyik asyik
pakcikdahtua,pak cik sudah tua
pakcikmudalagi,pak cik muda lagi
t3tapjokowi,tetap jokowi
3x,tiga kali
aamiin,amin
aamiinn,amin
aamin,amin
aammiin,amin
abis,habis
abisin,habiskan
acau,kacau
achok,ahok
ad,ada
adek,adik
adl,adalah
adlah,adalah
adlh,adalah
ado,ada
aduhh,aduh
aer,air
afdol,afdal
agamaataualqur,agama alquran
agm,agama
agma,agama
ahaha,haha
ahahaha,haha
ahehehehe,hehe
ahir,akhir
ahirnya,akhirnya
ahk,ahok
ahlamdulillah,alhamdulillah
ahli2,para ahli
ahlusunnah,ahlus sunah
ahmaddani,ahmad dhani
aho,ahok
ahoax,ahok
ahoaxx,ahok
ahog,ahok
ahokataudjarot,ahok djarot
ahokbebanijokowi,ahok beban jokowi
ahokbtp,ahok basuki tjahaja purnama
ahokditolakwarga,ahok ditolak warga
ahokdjarot,ahok djarot
ahokdjarotterbukti,ahok djarot terbukti
ahokers,ahoker
ahokfighter,ahok pejuang
ahokforpresident,ahok for presiden
ahokisthebest,ahok terbaik
ahokjarot,ahok djarot
ahokk,ahok
ahokmasukbui,ahok masuk bui
ahokmeskipun,ahok meskipun
ahokpositifjadi,ahok positif jadi
ahoksatuputaran,ahok satu putaran
ahoksemangat,ahok semangat
ahoktersangka,ahok tersangka
ahokterzhalimi,ahok terzalimi
ahoktetap,ahok tetap
ahoktidaksendiri,ahok tidak sendiri
ahokUSER,ahok
ahook,ahok
ahox,ahok
aing,aku
airmata,air mata
aiskrim,es krim
aj,saja
aja,saja
ajaa,saja
ajah,saja
ajalah,sajalah
aje,saja
ajg,anjing
ajh,saja
ajib,hebat
ajj,saja
ak,aku
akalakalan,akal akalan
akalakaln,akal akalan
akankena,akan kena
akherat,akhirat
akhi,saudara
akhirny,akhirnya
akhirnyamush,akhirnya musuh
akirnya,akhirnya
akn,akan
akoh,aku
aksiaksi1120aksi112020aksi1120,aksi aksi
akumuslim,aku muslim
akuwa,aqua
alahuakbar,allahu akbar
alallohu,alallahu
alesan,alasan
alhamdulilah,alhamdulillah
alhamdulillaah,alhamdulillah
alhamdullilah,alhamdulillah
alhmdllh,alhamdulillah
allahuakbar,allahu akbar
allahughayatuna,allahu ghayatuna
alloh,allah
allohu,allahu
alqur,alquran
ama,sama
amaca,ah masa
amajing,luar biasa
amcaman,ancaman
amiin,amin
aminn,amin
ampe,sampai
amriki,amerika
amuh,kamu
ana,saya
anbiarkekinian,biar kekinian
ancen,memang
ancur,hancur
ancuur,hancur
ane,saya
aneh2,aneh aneh
anget,hangat
angktpn,angkatpun
anjeng,anjing
anjg,anjing
ank,anak
anomaly,anomali
antikorupsi,anti korupsi
antum,kalian
anugrah,anugerah
ap,apa
apa2,apa apa
apaapaan,apa apaan
apaapalah,apa sajalah
apah,apa
apakabar,apa kabar
apalg,apa lagi
apamaunya,apa maunya
apane,apanya
apaoun,apapun
apasih,apa sih
ape,apa
apenista,penista
aph,apa
apk,apakah
aplgi,apa lagi
apo,apa
apose,apa sih
apz,apa
aq,aku
aquh,aku
artinx,artinya
asek,asyik
aseng,asing
asew,anjing
asik,asyik
ask,tanya
asline,aslinya
assalamualaikumalhamdulillahhasil,assalamualaykum alhamdulillah hasil
assalamuallaikum,assalamualaykum
asu,anjing
asw,anjing
asyek,asyik
atauatau05atauatau0atauatau0,atau
atauatauatau,atau
atauatauatau201atauatau201atauatauatau201atauatau,atau
atauatauatauatau,atau
atauatauatauatauatauatauatauatauatauatau,atau
atauem,atau
atauhr,atau
ataus,atau
ati,hati
ati2,hati hati
atit,sakit
ato,atau
atribut2,atribut atribut
atu,satu
atw,atau
awkeren,keren
awutawutan,awut awutan
aya,ada
ayang,sayang
ayok,ayo
ayoo,ayo
ayosavepakahok,ayo lindungi pak ahok
ayuk,ayo
aza,saja
azhan,azan
babeh,ayah
badboy,bad boy
badjingan,bajingan
bae,baik
bagaimnpun,bagaimana
bagi2,bagi bagi
bagimane,bagaimana
bahwasannya,bahwasanya
bakalan,akan
balaikota,balai kota
bales,balas
balikin,kembalikan
baliq,balig
bandarq,bandarku
banding2in,membanding bandingkan
